chksm1(8);chksm2(8);Size(4);Type(3);Title(48);Region(20)
50f75bc6;3ebb7457;0256;SMS;Final Bubble Bobble                             ;(Japan)             
b922108a;f6ad7b1d;0256;SMS;Fire & Forget II                                ;(Europe)            
8360a98f;8b24a640;0256;SMS;Fire & Ice                                      ;(Brazil) (En)       
a0d922cc;be31d63f;0256;SMS;Flash  The                                      ;(Europe  Brazil) (En
61e8806f;61e8806f;0032;SMS;Flashpoint                                      ;(Korea) (Unl)       
c1a03f45;838574d1;0256;SMS;Flight of Pigarus                               ;(World) (v1.00) (Aft
187cd0f5;1950005d;0256;SMS;Flight of Pigarus                               ;(World) (v1.10) (Aft
cff62824;60b86f18;0256;SMS;Flight of Pigarus                               ;(World) (v1.11) (Aft
9d01e4d2;ca5c78a5;0256;SMS;Flintstones  The                                ;(Europe  Brazil) (En
0fb33fd6;38c53916;0256;SMS;Forgotten Worlds                                ;(Europe  Brazil) (En
0fb33fd6;44136a72;0256;SMS;Forgotten Worlds                                ;(Taiwan) (En) (Unl) 
e6795c53;e6795c53;0032;SMS;Fushigi no Oshiro Pit Pot                       ;(Japan)             
f4b97244;05cdc24e;0256;SMS;G-LOC Air Battle                                ;(Europe  Brazil) (En
7e70b3b8;ec2da554;0512;SMS;GP Rider                                        ;(Europe  Brazil) (En
19f90435;8b40f6bf;0512;SMS;Gaegujangi Ggachi                               ;(Korea) (Unl)       
203e3981;d40d03c7;0256;SMS;Gain Ground                                     ;(Europe  Brazil) (En
602aea11;3ec5e627;0256;SMS;Gain Ground                                     ;(Europe  Brazil) (En
6521c759;a6fa42d0;0128;SMS;Galactic Protector                              ;(Japan)             
577ec227;577ec227;0032;SMS;Galaxian                                        ;(Korea) (Unl)       
01536a99;a4ac35d8;0512;SMS;Galaxy Force                                    ;(Europe  Brazil) (En
1962c68e;6c827520;0512;SMS;Galaxy Force                                    ;(USA)               
d2a09798;1890f407;0256;SMS;Game Box Serie Esportes Radicais                ;(Brazil) (En)       
8e0c04eb;380d7400;1024;SMS;Game Mo-eumjip 188 Hap                          ;(Korea) (Unl)       
64963b58;9afab511;0256;SMS;Game de Check! Koutsuu Anzen                    ;(Japan) (Proto)     
82c79d1a;ad522efd;0064;SMS;Gangcheol RoboCop                               ;(Korea) (En) (Unl)  
600ef191;5fc74d2a;0128;SMS;Gangster Town                                   ;(USA  Europe  Brazil
b3da551b;d9190956;0128;SMS;Gauntlet                                        ;(Europe  Brazil) (En
c5a7af18;a64898ce;0256;SMS;George Foreman's KO Boxing                      ;(Europe  Brazil) (En
956c416b;956c416b;0032;SMS;Geraldinho                                      ;(Brazil) (En)       
c0f3ce7e;c0f3ce7e;0032;SMS;Ghost House                                     ;(Japan)             
c3e7c1ed;c3e7c1ed;0032;SMS;Ghost House                                     ;(USA  Europe  Brazil
f1f8ff2d;f1f8ff2d;0032;SMS;Ghost House                                     ;(USA  Europe  Brazil
046c39d1;1ddc3059;0128;SMS;Ghostbusters                                    ;(USA  Europe  Brazil
96ca6902;38418b1c;0128;SMS;Ghouls'n Ghosts                                 ;(USA  Europe  Brazil
5ec5cabc;7a92eba6;0256;SMS;Ghouls'n Ghosts                                 ;(USA  Europe  Brazil
563146e8;91a0fc4e;0128;SMS;Global Defense                                  ;(USA  Europe  Brazil
d1e5dd21;b746a6f5;0128;SMS;Global Defense                                  ;(USA  Europe  Brazil
17d01aed;b67ceb76;0256;SMS;Global Gladiators                               ;(Europe  Brazil) (En
379aa49b;a249fa9d;0128;SMS;Gokuaku Doumei Dump Matsumoto                   ;(Japan)             
762aedc9;a471f450;0128;SMS;Golden Axe                                      ;(USA  Europe  Brazil
23e1c941;c08132fb;0512;SMS;Golden Axe                                      ;(USA  Europe  Brazil
7c7d5031;c7ded988;0256;SMS;Golden Axe Warrior                              ;(USA  Europe  Brazil
a71efb87;5dabfdc3;0256;SMS;Golfamania                                      ;(Europe) (Beta)     
64d297ff;48651325;0256;SMS;Golfamania                                      ;(Europe  Brazil) (En
05091017;a51376fe;0256;SMS;Golvellius - Valley of Doom                     ;(USA  Europe  Brazil
48f21cf8;fa561c8d;0064;SMS;Gotris                                          ;(Europe) (v0.7) (Aft
8cea1d07;5bb3ca71;0064;SMS;Gotris                                          ;(Europe) (v0.8) (Aft
afd32615;2dd244d0;0064;SMS;Gotris                                          ;(USA) (v0.7) (Afterm
89395d5d;adb0efa6;0064;SMS;Gotris                                          ;(USA) (v0.8) (Afterm
77116219;a3f9263a;0064;SMS;Gotris                                          ;(World) (v0.5) (Afte
6feb2dde;79c1e9f1;0064;SMS;Gotris                                          ;(World) (v0.6) (Afte
9eff1ec4;cfe301ed;0256;SMS;Gotris                                          ;(World) (v1.2p) (Aft
89e98a7c;89e98a7c;0032;SMS;Great Baseball                                  ;(Japan)             
17ef4708;10ed6b57;0128;SMS;Great Baseball                                  ;(USA  Europe)       
2e1c8815;2ac001eb;0128;SMS;Great Basketball                                ;(World)             
9eedc6d5;2055825f;0128;SMS;Great Football                                  ;(World)             
378617c8;6586bd1f;0128;SMS;Great Golf                                      ;(Japan)             
3987b9f8;5def1bf5;0128;SMS;Great Golf                                      ;(Korea) (En) (Unl)  
a1e839d7;4847bc91;0128;SMS;Great Golf                                      ;(World) (Beta)      
ba676856;98e4ae4a;0128;SMS;Great Golf                                      ;(World)             
7a42ba11;946b8c4a;0128;SMS;Great Ice Hockey                                ;(Japan  USA) (En)   
0ed170c9;0ed170c9;0032;SMS;Great Soccer                                    ;(Europe)            
2d7fd7ef;2d7fd7ef;0032;SMS;Great Soccer                                    ;(Japan)             
84665648;84665648;0032;SMS;Great Soccer                                    ;(Taiwan) (Unl)      
95cbf3dd;95cbf3dd;0032;SMS;Great Tennis                                    ;(Japan)             
b9b8ae63;6819b0c0;0128;SMS;Great Volleyball                                ;(Japan)             
de3801fb;8d43ea95;0128;SMS;Great Volleyball                                ;(USA  Europe  Brazil
3af7ccad;3af7ccad;0032;SMS;Gun.Smoke                                       ;(Korea) (En) (Unl)  
dbf818f2;b9fdf6d9;0256;SMS;Haja no Fuuin                                   ;(Japan)             
5015ba9b;1c5059f0;0128;SMS;Hang On & Astro Warrior                         ;(USA)               
56ca3a42;a120b77f;0128;SMS;Hang On & Safari Hunt                           ;(USA) (Beta)        
4d4f3006;e167a561;0128;SMS;Hang On & Safari Hunt                           ;(USA)               
649f29e8;649f29e8;0032;SMS;Hang On                                         ;(Europe) (Beta)     
071b045e;071b045e;0032;SMS;Hang On                                         ;(Europe)            
5c01adf9;5c01adf9;0032;SMS;Hang On                                         ;(Japan)             
95d5299b;fdab876a;0256;SMS;Heavyweight Champ                               ;(Europe  Brazil) (En
39e48bf6;9611bebd;0512;SMS;Heroes of the Lance                             ;(Europe  Brazil) (En
9ca9ce27;cde13ffb;0512;SMS;Heroes of the Lance                             ;(Europe  Brazil) (En
3eb449d0;9eb1aa4f;0128;SMS;High School! Kimengumi                          ;(Japan)             
4ebcf235;24f5fe8c;0128;SMS;Hokuto no Ken                                   ;(Japan)             
b76f1bd0;c4ab363d;0128;SMS;Hokuto no Ken                                   ;(Taiwan) (Unl)      
ffc5e52d;c9dbf936;0256;SMS;Home Alone                                      ;(Europe)            
55a368ba;8040b2fa;0048;SMS;Hong Kil Dong                                   ;(Korea) (Unl)       
20111da4;9ced34a7;0256;SMS;Hook                                            ;(Europe) (Proto)    
7f728cf8;955a009e;0256;SMS;Hoshi wo Sagashite...                           ;(Japan)             
